Conditions,Parameters,Version 1,Version 2,Version 3,Version 4,Version 5
"If the vehicle traveled at least 20 km, the lowest possible average hourly fuel consumption is 5 dm³/h.","total operation time, total fuel consumption] total operation time, total fuel consumption] total fuel consumption, total operation time] total operation time, total fuel consumption] total operation time, total fuel consumption","When the vehicle has traveled a minimum of 20 km, the lowest average hourly fuel consumption is 5 dm³/h.","If the distance covered by the vehicle is at least 20 km, the minimum average fuel consumption rate per hour is 5 dm³/h.","The vehicle’s average hourly fuel consumption cannot be less than 5 dm³/h, provided that it traveled at least 20 km.","For a journey of at least 20 km, the vehicle's lowest average fuel consumption per hour is 5 dm³/h.","If the vehicle covers a distance of no less than 20 km, its hourly fuel consumption cannot drop below 5 dm³/h."
"The lowest possible average fuel consumption per distance, if the vehicle traveled at least 20 km, is 40 dm³/100 km.","distance, total fuel consumption] distance, total fuel consumption] distance, total fuel consumption] total fuel consumption, distance] distance, total fuel consumption","The minimum average fuel consumption per distance, given that the vehicle has traveled at least 20 km, is 40 dm³/100 km.","If the vehicle covers at least 20 km, the average fuel consumption per distance cannot be lower than 40 dm³/100 km.","When the vehicle travels 20 km or more, the average fuel consumption per distance is at least 40 dm³/100 km.","The vehicle's minimum average fuel consumption per 100 km, if it travels 20 km or more, is 40 dm³/100 km.","For trips of at least 20 km, the minimum fuel consumption rate per 100 km is 40 dm³/100 km."
Total operation time cannot be less than PTO operation time.,"total operation time, PTO operation time] PTO operation time, total operation time] PTO operation time, total operation time] total operation time, PTO operation time] PTO operation time, total operation time",The total operation duration must not be lower than the PTO operation time.,PTO operation time cannot be greater than the total operation time.,PTO operation time should be less than or equal to the total operation time.,Total operation time shouldn’t be lower than PTO operation time.,PTO operation time must be less than or equal to the total operation time.
Total operation time cannot be less than idle time.,"total operation time, idle time] idle time, total operation time] idle time, total operation time] total operation time, idle time] idle time, total operation time",The total operation duration must not be lower than the idle time.,Idle time cannot be greater than the total operation time.,Idle time should be less than or equal to the total operation time.,Total operation time shouldn’t be lower than idle time.,Idle time must always be less than or equal to the total operation time.
Total operation time cannot be less than driving time.,"total operation time, driving time] driving time, total operation time] driving time, total operation time] total operation time, driving time] driving time, total operation time",The total operation durationmust not be lower than the driving time.,Driving time cannot be greater than the total operation time.,Driving time should be less than or equal to the total operation time.,Total operation time should shouldn’t be lower than driving time.,Driving time must always be less than or equal to the total operation time.
The total number of stops cannot be less than the number of stops with PTO engaged.,"stops, stops with PTO engaged] stops with PTO engaged, stops] stops with PTO engaged, stops] stops with PTO engaged, stops] stops with PTO engaged, stops",The total stop count must not be lower than the count of stops where PTO is engaged.,Stops with PTO engaged cannot outnumber the total stops.,The number of stops where PTO is engaged must not exceed the overall stop count.,PTO-engaged stops cannot exceed the total number of stops.,Stops with PTO engaged should never outnumber total stops.
The load on axle 1 cannot be greater than the load on axle 2.,"axle 1 load, axle 2 load] axle 1 load, axle 2 load] axle 1 load, axle 2 load] axle 1 load, axle 2 load] axle 1 load, axle 2 load",The load on axle 1 must not surpass the load on axle 2.,Axle 1's load cannot exceed Axle 2's load.,The load carried by axle 1 must be smaller than or equal to the load on axle 2.,The weight on axle 1 cannot surpass the weight on axle 2.,The load supported by axle 1 cannot exceed that of axle 2.
The load on axle 1 cannot be greater than the load on axle 3.,"axle 1 load, axle 3 load] axle 1 load, axle 3 load] axle 1 load, axle 3 load] axle 1 load, axle 3 load] axle 1 load, axle 3 load",The load on axle 1 must not surpass the load on axle 3.,Axle 1's load cannot exceed Axle 3's load.,The load carried by axle 1 must be smaller than or equal to the load on axle 3.,The weight on axle 1 cannot surpass the weight on axle 3.,The load supported by axle 1 cannot exceed that of axle 3.
The payload cannot be greater than the load on axle 2.,"payload, axle 2 load] axle 2 load, payload] payload, axle 2 load] payload, axle 2 load] payload, axle 2 load",The payload must not exceed the load carried by axle 2.,Axle 2's load must always be equal to or greater than the payload.,The payload must always be smaller than or equal to the load on axle 2.,The payload cannot exceed the capacity of axle 2.,Payload must remain below or equal to the load carried by axle 2.
The payload cannot be greater than the load on axle 3.,"payload, axle 3 load] axle 3 load, payload] payload, axle 3 load] payload, axle 3 load] payload, axle 3 load",The payload must not exceed the load carried by axle 3.,Axle 3's load must always be equal to or greater than the payload.,The payload must always be smaller than or equal to the load on axle 3.,The payload cannot exceed the capacity of axle 3.,Payload must remain below or equal to the load carried by axle 3.
"Total operation time cannot be less than the sum of PTO operation time, idle time, and driving time.","total operation time, PTO operation time, idle time, driving time] PTO operation time, idle time, driving time, total operation time] total operation time, PTO operation time, idle time, driving time] total operation time, PTO operation time, idle time, driving time] total operation time, PTO operation time, idle time, driving time","The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.","The combined time for PTO operation, idle time, and driving time must not surpass the total operation time.","Total operation time must be greater than or equal to the sum of PTO operation, idle, and driving times.","Total operation time should be at least the sum of PTO, idle, and driving times.","The total operation duration must always be greater than or equal to the combined time for PTO, idle, and driving."
